,language
JavaScript,0.4249191530904875
TypeScript,0.1665141253279639
Python,0.10049423393739704
Go,0.09085362133138081
Rust,0.04478613704313869
C#,0.03978278113368723
Kotlin,0.034779425224235765
Shell,0.022149002379644882
PHP,0.017511745683080115
Java,0.014888034657392153
SCSS,0.010860943315638538
Ruby,0.009213496857648423
Dart,0.008115199218988347
Elixir,0.007810116541582769
Scala,0.0023186283482823844
HTML,0.0015254133870278846
Vue,0.0011593141741411922
Dockerfile,0.0011593141741411922
Objective-C,0.0005491488193300384
Swift,0.00048813228384892305
C++,0.00012203307096223076
