,conventional_commits,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention
0,20267,angular,https://github.com/angular/angular,TypeScript,MIT License,69347,77,0,1441,4,55.9,95,2775,1935,2.2,69620,0.87075,angular
1,14347,sentry,https://github.com/getsentry/sentry,Python,Other,26961,154,0,565,2,107.8,14,22582,22284,0.1,16228,0.77036,angular
2,13069,camunda-bpm-platform,https://github.com/camunda/camunda-bpm-platform,Java,Apache License 2.0,1781,129,0,246,3,16.9,9,222,180,0.6,3693,0.66856,angular
3,10603,frappe,https://github.com/frappe/frappe,Python,MIT License,2019,117,0,419,6,72.6,43,618,493,1.2,38421,0.8213600000000001,angular
4,9522,gatsby,https://github.com/gatsbyjs/gatsby,JavaScript,MIT License,48517,69,0,3896,3,80.8,5,2122,1788,1.6,982574,0.8880899999999999,angular
5,8963,webiny-js,https://github.com/webiny/webiny-js,TypeScript,MIT License,4077,37,1,44,4,54.8,855,253,185,1.4,721,0.61316,angular
6,8360,renovate,https://github.com/renovatebot/renovate,TypeScript,GNU Affero General Public License v3.0,4231,49,0,333,10,44.6,1131,7434,7166,0.3,1335,0.75585,angular
7,8170,ionic-framework,https://github.com/ionic-team/ionic-framework,TypeScript,Other,42768,90,1,425,3,11.5,46,796,585,2.2,57,0.64307,angular
8,8170,components,https://github.com/angular/components,TypeScript,MIT License,20781,61,1,537,4,28.2,48,1391,896,1.4,15744,0.76057,angular
10,7822,angular.js,https://github.com/angular/angular.js,JavaScript,MIT License,59587,621,2,1845,5,1.2,4,36,29,0.6,13430,0.66733,angular
11,7666,angular-cli,https://github.com/angular/angular-cli,TypeScript,MIT License,24063,70,0,534,7,34.6,105,1187,1074,1.7,17315,0.81404,angular
12,7207,mathlib,https://github.com/leanprover-community/mathlib,Lean,Apache License 2.0,679,43,0,139,7,71.6,0,1227,1070,2.9,55,0.63157,angular
13,7115,zeebe,https://github.com/zeebe-io/zeebe,Java,,1680,59,0,64,5,28.4,38,1303,1029,1.7,2079,0.69665,angular
14,7065,vuetify,https://github.com/vuetifyjs/vuetify,TypeScript,MIT License,29042,53,0,632,5,38.2,72,1205,704,1.2,3269,0.7581100000000001,angular
15,6877,erpnext,https://github.com/frappe/erpnext,Python,GNU General Public License v3.0,7426,117,0,426,7,50.1,44,987,709,0.6,83126,0.82821,angular
16,6191,ant-design,https://github.com/ant-design/ant-design,TypeScript,MIT License,65911,69,0,1519,6,53.2,76,2488,1936,2.6,34898,0.8770899999999999,angular
17,6113,pnpm,https://github.com/pnpm/pnpm,TypeScript,MIT License,9427,60,0,78,8,18.9,109,199,110,1.9,494,0.66465,angular
18,5804,electron,https://github.com/electron/electron,C++,MIT License,88517,95,0,1146,6,29.5,157,1976,1455,2.1,48992,0.86345,angular
19,5733,deck,https://github.com/spinnaker/deck,TypeScript,Apache License 2.0,243,80,0,286,5,21.4,304,190,173,0.7,540,0.67109,angular
21,5647,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,JavaScript,"BSD 3-Clause ""New"" or ""Revised"" License",318328,87,0,4551,4,26.3,0,976,770,2.5,28410,0.80829,angular
22,5221,aws-cdk,https://github.com/aws/aws-cdk,TypeScript,Apache License 2.0,6021,40,0,583,5,50.1,75,2374,1508,3.1,1724,0.77853,angular
23,5033,loopback-next,https://github.com/strongloop/loopback-next,TypeScript,Other,3328,49,0,183,7,40.7,1233,784,469,1.2,224,0.6835,angular
24,4904,trezor-firmware,https://github.com/trezor/trezor-firmware,Python,,353,100,0,225,9,22.8,15,210,134,1.8,32,0.65661,angular
25,4637,stencil,https://github.com/ionic-team/stencil,TypeScript,Other,8733,47,0,157,8,15.9,43,212,133,1.8,936,0.68683,angular
26,4581,chakra-ui,https://github.com/chakra-ui/chakra-ui,TypeScript,MIT License,14088,18,0,304,6,65.8,171,785,702,2.7,313,0.70602,angular
27,4417,js-ipfs,https://github.com/ipfs/js-ipfs,JavaScript,Other,4879,81,1,223,8,10.9,182,238,159,1.6,689,0.68002,angular
28,4327,playwright,https://github.com/microsoft/playwright,TypeScript,Apache License 2.0,20021,14,0,84,5,58.3,30,1000,819,1.2,312,0.63595,angular
29,4324,uno,https://github.com/unoplatform/uno,C#,Other,4290,32,0,181,5,65.9,9,838,480,3.0,136,0.6663,angular
30,4280,uni-app,https://github.com/dcloudio/uni-app,JavaScript,Apache License 2.0,28430,30,0,115,3,71.1,180,317,97,1.3,1142,0.64831,angular
31,4178,RSSHub,https://github.com/DIYgod/RSSHub,JavaScript,MIT License,14896,34,0,564,4,38.6,0,942,837,1.4,610,0.64985,angular
32,4170,google-cloud-ruby,https://github.com/googleapis/google-cloud-ruby,Ruby,Apache License 2.0,1037,81,0,130,5,61.9,30,946,735,0.5,1910,0.7056399999999999,angular
33,4167,vant,https://github.com/youzan/vant,JavaScript,MIT License,16386,49,0,171,4,48.8,65,659,644,1.8,374,0.68198,angular
