,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention
0,node,https://github.com/nodejs/node,JavaScript,Other,75769,145,0,3250,10,61.1,66,2066,1414,3.9,1037565,0.99338,angular
24,openssl,https://github.com/openssl/openssl,C,Apache License 2.0,14518,268,0,705,4,48.0,15,989,602,4.7,408323,0.89094,angular
27,gatsby,https://github.com/gatsbyjs/gatsby,JavaScript,MIT License,48517,69,0,3896,3,80.8,5,2122,1788,1.6,982574,0.8880899999999999,angular
35,ant-design,https://github.com/ant-design/ant-design,TypeScript,MIT License,65911,69,0,1519,6,53.2,76,2488,1936,2.6,34898,0.8770899999999999,angular
38,angular,https://github.com/angular/angular,TypeScript,MIT License,69347,77,0,1441,4,55.9,95,2775,1935,2.2,69620,0.87075,angular
39,three.js,https://github.com/mrdoob/three.js,JavaScript,MIT License,66127,131,0,1720,8,60.0,12,783,583,2.5,23400,0.8706299999999999,eslint
41,grafana,https://github.com/grafana/grafana,TypeScript,Apache License 2.0,39072,97,0,1521,4,75.6,44,3725,2657,1.6,40821,0.86874,eslint
50,electron,https://github.com/electron/electron,C++,MIT License,88517,95,0,1146,6,29.5,157,1976,1455,2.1,48992,0.86345,angular
58,eslint,https://github.com/eslint/eslint,JavaScript,MIT License,17690,92,0,890,10,9.6,26,670,608,1.4,159676,0.8567100000000001,eslint
61,cockroach,https://github.com/cockroachdb/cockroach,Go,Other,19665,84,0,441,7,133.8,36,4507,3040,2.5,10643,0.8545299999999999,angular
85,curl,https://github.com/curl/curl,C,Other,19037,256,0,873,8,27.8,9,412,369,2.7,30391,0.83391,angular
86,jest,https://github.com/facebook/jest,TypeScript,MIT License,33723,86,0,1270,5,13.5,34,750,460,2.2,55397,0.8325600000000001,angular
89,zephyr,https://github.com/zephyrproject-rtos/zephyr,C,Apache License 2.0,4068,70,0,1046,5,191.9,13,2894,2065,2.2,5266,0.83206,angular
96,erpnext,https://github.com/frappe/erpnext,Python,GNU General Public License v3.0,7426,117,0,426,7,50.1,44,987,709,0.6,83126,0.82821,angular
98,cypress,https://github.com/cypress-io/cypress,JavaScript,MIT License,26276,80,0,247,6,27.6,31,1879,1163,2.3,86977,0.8269299999999999,angular
99,linuxbrew-core,https://github.com/Homebrew/linuxbrew-core,Ruby,"BSD 2-Clause ""Simplified"" License",945,142,0,11810,5,1301.8,0,1936,1912,0.6,3010,0.8265299999999999,angular
100,edx-platform,https://github.com/edx/edx-platform,Python,GNU Affero General Public License v3.0,5368,111,0,960,3,51.1,253,883,773,3.5,13245,0.82644,angular
112,frappe,https://github.com/frappe/frappe,Python,MIT License,2019,117,0,419,6,72.6,43,618,493,1.2,38421,0.8213600000000001,angular
118,packages,https://github.com/openwrt/packages,Makefile,GNU General Public License v2.0,2618,81,0,798,4,62.0,0,989,856,2.1,598773,0.81983,angular
121,openwrt,https://github.com/openwrt/openwrt,C,GNU General Public License v2.0,7306,204,0,904,4,62.9,2,499,339,5.2,25474,0.8175899999999999,angular
132,envoy,https://github.com/envoyproxy/envoy,C++,Apache License 2.0,15635,54,0,673,5,48.9,27,1619,1101,3.5,7216,0.81409,angular
133,angular-cli,https://github.com/angular/angular-cli,TypeScript,MIT License,24063,70,0,534,7,34.6,105,1187,1074,1.7,17315,0.81404,angular
137,cli,https://github.com/npm/cli,JavaScript,Other,3929,137,0,727,9,16.9,49,1092,395,1.3,11256,0.81287,angular
147,serverless,https://github.com/serverless/serverless,JavaScript,MIT License,38454,70,0,955,12,21.6,64,584,364,2.4,4073,0.8094399999999999,angular
148,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,JavaScript,"BSD 3-Clause ""New"" or ""Revised"" License",318328,87,0,4551,4,26.3,0,976,770,2.5,28410,0.80829,angular
155,cilium,https://github.com/cilium/cilium,Go,Apache License 2.0,7213,62,0,260,8,84.4,41,1481,1106,2.9,4523,0.8052199999999999,angular
215,libuv,https://github.com/libuv/libuv,C,Other,16543,119,0,450,9,4.6,23,150,59,2.2,27448,0.78084,angular
220,vue-cli,https://github.com/vuejs/vue-cli,JavaScript,MIT License,27082,61,0,421,10,7.9,24,481,348,1.8,14487,0.77915,angular
222,aws-cdk,https://github.com/aws/aws-cdk,TypeScript,Apache License 2.0,6021,40,0,583,5,50.1,75,2374,1508,3.1,1724,0.77853,angular
245,tidb,https://github.com/pingcap/tidb,Go,Apache License 2.0,26432,65,0,535,2,49.6,34,3111,2320,4.8,1660,0.77254,angular
249,zulip,https://github.com/zulip/zulip,Python,Apache License 2.0,12967,102,0,747,4,111.8,11,1287,381,1.6,2504,0.77167,angular
253,cloudstack,https://github.com/apache/cloudstack,Java,Apache License 2.0,944,127,0,651,6,11.2,3,543,290,4.9,5097,0.77054,angular
